date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:32	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:32%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/image4_note8.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/image4_note8-2.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/09_class_notes_it244.html)
11:54:33	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:33%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/image5_note8.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/image5_note8-2.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/09_class_notes_it244.html)
11:54:34	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:34%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/image6_note8.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/image6_note8-2.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/09_class_notes_it244.html)
11:54:35	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:35%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/image7_note8.png	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/image7_note8-2.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/09_class_notes_it244.html)
11:54:36	42813/42813	---M--	200	added ('OK')	image/png	etag:%22a73d-562dc6937c5b6%22	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/image1_note10.PNG	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/image1_note10.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/10_class_notes_it244.html)
11:54:37	22209/22209	---M--	200	added ('OK')	image/png	etag:%2256c1-562dc693890d8%22	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/image1_note12.PNG	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/image1_note12.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/12_class_notes_it244.html)
11:54:38	11861/11861	---M--	200	added ('OK')	image/png	etag:%222e55-562dc693c2abf%22	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/image2_note12.PNG	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/image2_note12.png	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/12_class_notes_it244.html)
11:54:39	8115/8115	---M-Z	200	added ('OK')	text/html	etag:%221fb3-562dc69007909-gzip%22	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/midterm_answers_f17_it244.html	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/midterm_answers_f17_it244.html	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/17_class_notes_it244.html)
11:54:40	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:40%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/weekly_quiz_answers_it244/06_quiz_answers_it244.html	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/weekly_quiz_answers_it244/06_quiz_answers_it244.html	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/19_class_notes_it244.html)
11:54:41	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:54:41%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/weekly_quiz_answers_it244/07_quiz_answers_it244.html	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/weekly_quiz_answers_it244/07_quiz_answers_it244.html	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/21_class_notes_it244.html)
